Report ID,Drugs,Categories,Non-Substance,Context,Dose Method,Intensity,Gender,Title,Author,Date,Views
69088,Yerba Mate,"Retrospective / Summary,Glowing Experiences",,Not Applicable,oral,,Male,"Sweet, Full, Earthy Flavor",Jessulathena,Feb 23 2010,5411
69742,Diphenhydramine,"Health Problems,Post Trip Problems",,Unknown Context,oral,,Male,Pain in the Head,Anonymous,Feb 24 2010,5020
69774,Pharms - Mirtazapine,"Retrospective / Summary,Medical Use,Multi-Day Experience",,Not Applicable,oral,,Female,Fairly Sedative,Atashi,Jul 21 2010,7492
86474,Pharms - Escitalopram,Medical Use,,Not Applicable,oral,,Not-Specified,Empty. Lost.,Adubz,Jul 21 2010,6237
86850,Kratom,"Retrospective / Summary,Preparation / Recipes,Health Benefits,Medical Use,Multi-Day Experience",,Not Applicable,oral,,Male,How to Beat Opiate Withdrawal,BreakThePain,Jan 9 2011,56299
74376,"Pharmaceuticals,Pharms - Zolpidem","Combinations,Medical Use,Hangover / Days After",,Not Applicable,oral,,Female,Unexpected Morning After,Allie,Aug 22 2010,9666
86965,DXM,General,Drug Testing,Unknown Context,oral,,Male,DXM Drug Test,SKeeTraD,Aug 24 2010,7523
85592,Kratom,"Retrospective / Summary,Preparation / Recipes",,Not Applicable,oral,,Male,Kratom Shooters,Mishkin,Jan 9 2011,41068
88254,"Kratom,Pharmaceuticals,Pharms - Sertraline,SSRIs","Health Benefits,Multi-Day Experience",,Not Applicable,oral,,Male,For SSRI Withdrawals,Entropy,Nov 21 2010,9658
70037,"Morning Glory,Turbina corymbosa","Combinations,Preparation / Recipes",,Not Applicable,oral,,Male,Healing in Hidden Ways,Swatchfinal,Dec 28 2009,10282
79951,"DXM,Pharmaceuticals,Pharms - Fluoxetine,SSRIs","Health Problems,Post Trip Problems,Hangover / Days After,Depression,Multi-Day Experience",,Not Applicable,oral,,Male,Stopped the Brain Zaps,Jono,Aug 17 2010,12804
77422,Pharms - Aripiprazole,"First Times,Difficult Experiences,Bad Trips,Medical Use",Endogenous,Alone,oral,,Male,Losing My Ability to Calm Down,Pretentions,Feb 21 2010,12413
87365,Aniracetam,"Combinations,Retrospective / Summary",,Not Applicable,oral,,Male,Id Suppression at Its Finest,Jose Bingo,Oct 20 2010,26960
81732,"Cannabis,Mandrake","Retrospective / Summary,Preparation / Recipes",,Not Applicable,oral,,Male,Witchcraft Revisited,Mindbody,Nov 25 2010,21140
79824,"2C-E,Benzodiazepines,Pharms - Diazepam",Combinations,,Alone,oral,,Male,My Safety Cushion Didn't Work,Sleepy,Jan 17 2010,9195
